category,series, exercise#,exercise,link,Embed link,duration
התקפות,סטירה,1,Osoto Gari,https://youtu.be/zwUKVRC9N4U?t=18,https://www.youtube.com/embed/zwUKVRC9N4U?start=18,8
התקפות,סטירה,2,Kubi-Nage,https://youtu.be/zwUKVRC9N4U?t=117,https://www.youtube.com/embed/zwUKVRC9N4U?start=117,9
התקפות,סטירה,3,מנוף (למעלה),https://youtu.be/mMZXg3AvoiM,https://www.youtube.com/embed/mMZXg3AvoiM,15
התקפות,סטירה,4,Tai Sabaki (למטה),https://youtu.be/mMZXg3AvoiM?t=45,https://www.youtube.com/embed/mMZXg3AvoiM?start=45,7
התקפות,סטירה,5,Ippon-seoi-nage,https://youtu.be/qZh8Q4ObTIY,https://www.youtube.com/embed/qZh8Q4ObTIY,9
התקפות,סטירה,6,גליוטינה + גלגול,https://youtu.be/qZh8Q4ObTIY?t=51,https://www.youtube.com/embed/qZh8Q4ObTIY?start=51,18
התקפות,סטירה,7,הטלת בית שחי Yoko Wakare,https://youtu.be/TRfU-ssP7cM?t=2,https://www.youtube.com/embed/TRfU-ssP7cM?start=2,43
התקפות,שתי סטירות,1,נגיחה,https://youtu.be/bAFH1y5GTbI?t=12,https://www.youtube.com/embed/bAFH1y5GTbI?start=12,3
התקפות,שתי סטירות,2,Osoto Gari,https://youtu.be/bAFH1y5GTbI?t=15,https://www.youtube.com/embed/bAFH1y5GTbI?start=15,7
התקפות,שתי סטירות,3,Kubi-Nage,https://youtu.be/bAFH1y5GTbI?t=24,https://www.youtube.com/embed/bAFH1y5GTbI?start=24,7
התקפות,שתי סטירות,4,Tai-otoshi,https://youtu.be/bAFH1y5GTbI?t=33,https://www.youtube.com/embed/bAFH1y5GTbI?start=33,12
התקפות,שתי סטירות,5,פרפר ,https://youtu.be/iZRjXQCBrU4?t=6,https://www.youtube.com/embed/iZRjXQCBrU4?start=6,23
התקפות,שתי סטירות,6,בייגלה,https://youtu.be/iZRjXQCBrU4?t=37,https://www.youtube.com/embed/iZRjXQCBrU4?start=37,44
התקפות,גב יד,1,גריפת עקב,https://youtu.be/85DkKh8wxug,https://www.youtube.com/embed/85DkKh8wxug,6
התקפות,גב יד,2,דריכה על הברך,https://youtu.be/85DkKh8wxug?t=9,https://www.youtube.com/embed/85DkKh8wxug?start=9,8
התקפות,גב יד,3,הפלה מהעקב,https://youtu.be/85DkKh8wxug?t=21,https://www.youtube.com/embed/85DkKh8wxug?start=21,10
התקפות,גב יד,4,מריצה,https://youtu.be/dDJA4gFRX6g?t=1,https://www.youtube.com/embed/dDJA4gFRX6g?start=1,21
התקפות,גב יד,5,Tai Sabaki מהמרפק,https://youtu.be/dDJA4gFRX6g?t=29,https://www.youtube.com/embed/dDJA4gFRX6g?start=29,12
התקפות,גב יד,6,Kani-basami (מספריים),https://youtu.be/9ynvwuT7Wbg?t=1,https://www.youtube.com/embed/9ynvwuT7Wbg?start=1,11
התקפות,גב יד,7,מספריים הפוכים,https://youtu.be/9ynvwuT7Wbg?t=21,https://www.youtube.com/embed/9ynvwuT7Wbg?start=21,15
התקפות,אגרוף,1,אגרוף גזע המוח,https://youtu.be/RzFiHGpLweY?t=9,https://www.youtube.com/embed/RzFiHGpLweY?start=9,7
התקפות,אגרוף,2,מרפק גזע המוח,https://youtu.be/RzFiHGpLweY?t=19,https://www.youtube.com/embed/RzFiHGpLweY?start=19,9
התקפות,אגרוף,3,שבירת מרפק,https://youtu.be/RzFiHGpLweY?t=30,https://www.youtube.com/embed/RzFiHGpLweY?start=30,9
התקפות,אגרוף,4,2 ברכיות + שבירת מרפק,https://youtu.be/RzFiHGpLweY?t=41,https://www.youtube.com/embed/RzFiHGpLweY?start=40,19
התקפות,אגרוף,5,Tai Sabaki + המשך,https://youtu.be/RzFiHGpLweY?t=64,https://www.youtube.com/embed/RzFiHGpLweY?start=64,11
התקפות,אגרוף,6,קלאסי,https://youtu.be/RzFiHGpLweY?t=82,https://www.youtube.com/embed/RzFiHGpLweY?start=82,8
התקפות,אגרוף,7,יוקו וגלגול,https://youtu.be/RzFiHGpLweY?t=125,https://www.youtube.com/embed/RzFiHGpLweY?start=125,23
תפיסות ידים,תפיסות ידים מלפנים ,1,משיכת ידים,https://youtu.be/eOQBv3EmorQ,https://www.youtube.com/embed/eOQBv3EmorQ,4
תפיסות ידים,תפיסות ידים מלפנים ,2,משיכת יד שמאל + אגרוף,https://youtu.be/eOQBv3EmorQ?t=12,https://www.youtube.com/embed/eOQBv3EmorQ?start=12,5
תפיסות ידים,תפיסות ידים מלפנים ,3,שמש ,https://youtu.be/eOQBv3EmorQ?t=21,https://www.youtube.com/embed/eOQBv3EmorQ?start=21,6
תפיסות ידים,תפיסות ידים מלפנים ,4,Tani-Otoshi,https://youtu.be/eOQBv3EmorQ?t=36,https://www.youtube.com/embed/eOQBv3EmorQ?start=36,9
